Municipality,2009,2010,2011,2012,2013,2014,2015,2016
Thembelihle,0.0013649681991890381,0.008834717442255969,0.04913796035261205,0.08451022817256372,0.010493914772743649,7.033129056957572e-07,0.053634620028221724,0.0
Langeberg,0.010880035290326695,0.006939318469848728,0.006370018833463992,0.004433025322220549,0.00853375868768188,0.021899404737226756,0.041262656307567876,0.03437197595689823
Lekwa,0.0009507297380539057,0.00201766650076871,0.001227064362975021,0.006312100892470418,0.000629646095760621,0.004160868239763298,0.006028778966666143,0.0058981312265889135
Midvaal,0.016683785761645475,0.01822884095379968,0.017172663590445697,0.01888728557112469,0.010563541040096658,0.06800964724530645,0.06035138530805993,0.056348286599860506
City of Tshwane,0.0026904747012777173,0.0003338233529525587,0.00019976399946904986,0.00022614159580805953,0.0017319793245020184,0.005776435130003393,0.0069137782762965444,0.011158874052809816
Msukaligwa,0.003495654885256428,0.004730522986430793,0.0025735487692309217,0.0009933878775346048,0.0008524387579105522,0.004836314179254477,0.011337987164457112,0.011955889274395073
Tokologo,0.0019139637194441647,0.0010195982530578076,0.0011190100237444289,0.0013598319549905837,0.0007164632023777772,0.00321973989301156,0.003672448625472076,0.0032721328321348333
Breede Valley,0.01817330637789249,0.015489213735082118,0.012203536140615248,0.014566059316715537,0.026205472677458985,0.052797424365602405,0.03234572534620908,0.07552713288729654
Mafikeng,0.007435534551144497,0.004437547975602577,0.0036642156817322346,0.006170725377187026,0.005296391202396153,0.027075706273921873,0.03875061897456824,0.01029929630867366
Dipaleseng,0.0044394262353161015,0.0023687500025515325,0.002162781489254999,0.0019456699647161665,0.0012523892343708457,0.006026939323277566,0.004357890727411683,0.007603795684847823
Hantam,0.002244601373454973,0.0023495559842098934,0.001459838192096314,0.0010539852482667174,0.0009377329661767404,0.00094777022997484,0.001335088544136105,0.0007830470560869681
Cape Agulhas,0.013551033352035807,0.003413818931188592,0.004052664292460916,0.0037576997830332383,0.0037213467446685668,0.00634322167685438,0.012812048576065313,0.029048752954782594
Kai !Garib,0.0011673448008122365,0.0009234571347325821,0.0014346879935345435,0.0015419441536209185,0.0008319489507607965,0.0004540472023419972,0.000684821857331631,0.0005844433808156252
Mbizana,0.001404718041417157,0.002796376207928246,0.0016865167201605173,0.001606594048629588,0.0010895159391725244,0.002673767403454255,0.0047625927582175005,0.005318030502969129
Emalahleni,0.0025258253438731363,0.002122112662333768,0.0019085194239393507,0.00148979971131129,0.0008295319121975466,0.007385978387645311,0.007006625768929618,0.00873222590614926
Victor Khanye,0.001603700129163554,0.0010286918673566502,0.002639543635697071,0,0.0009032154617440895,0.004061250546339518,0.0017253260338196588,0.0032963371992475775
Ngqushwa,0.007284628224637945,0.00805555113927393,0.0029665132251899154,0.002385754772435917,0.0,0.005110656712997647,0.005896842407345451,0.004469229764594923
Nyandeni,0,0.0018980205401730945,0.0025552775212278975,0.003508192679714938,0.0014840026727210142,0.0002671445000331015,0.00017057547885112264,0.00022759019074988435
Greater Kokstad,0.023105905803197047,0.021752454918986502,0.0035507259280270127,0.006284242362641237,0.001509789330844855,0.004480598510342165,0.03735348014249404,0.014435758504002394
Musina,0.008929851857738548,0.023597464359807245,0.010940168333739937,0.013838612368024132,0.00949965010496851,0.01923037589016661,0.01980242904278262,0.004404931427310644
Polokwane,0.0028712626587707444,0.0018010541200813722,0.0032970357505403723,0.002500187517080201,0.0013401569499072667,0.005459492905736492,0.0038803805427086945,0.012091536501054304
Drakenstein,0.010730624654143529,0.014697549733535886,0.005910093176098745,0.0036757675919368476,0.011344447778436241,0.036706737803661384,0.0313425436212956,0.028334517873309855
Ntabankulu,0.0004967242223350795,0.00045405668419808907,0.0009255543291515092,0.0052758765444295445,0.004008006004040555,0.006132922786583698,0.00796118045463783,0.004869879265995505
Tswelopele,0.000878597799729663,0.000946311203580783,0.001343661752786143,0.0007133295076048338,0.0018312075076340319,0.0020471254158788343,0.002538238636355534,0.0018347830711096613
Maruleng,0,1.9340138067814104e-05,0,0.0014057653591174604,0.002078449852329941,0.0018537856996675226,0.006572041731635354,0.005560719746306123
uMuziwabantu,0.011063929742064707,0.0019730683639151998,0.006437783290045482,0.006243076368281061,0.0022785247161330397,0.006673902839708989,0.0030591834333450994,0.0020600927328650784
Umvoti,0.0058173338873272725,0.0040958662853542,0.002927250937918489,0.0038522176032243826,0.00516937423546475,0.003322939644179629,0.01643191442072948,0.0074770490657315525
Intsika Yethu,0.0003713265962547977,0.0008153428037586579,0.007651101708631231,0,0.0,0.0022344352246820667,0.001880370015267549,0.0034660729739647137
Port St Johns,0.00020823661782804815,0.00010710753235863462,0.0002776102781260488,0.0007923042119805233,0.00032819362422943914,0.0024227577691331415,0.0018673778875903622,0.0017875059728332118
Matjhabeng,0.0013070659698669266,0.0022799026320370567,0.001503390346839669,0.002565586023610756,0.0014875016888736038,0.0017822313311938191,0.006244736844415276,0.00571190647894096
Kopanong,0.0008725183139289658,0.0005112896786566751,0.0007021566457651811,0,0.0,0.0,0.0005237726383802398,0.0004775022254059964
Sakhisizwe,0.001254804991431212,0.0009822154138325846,0.0003903739153636464,0,0.00033976573222762186,0.0,0.0,0.0
Umsobomvu,0.03049328593348882,0.02146714042815076,0.013203573168280582,0.04136396405426557,0.009484757680389434,0.004642290532975775,0.03148660600658517,0.004123815243978513
Makhuduthamaga,0,0,0,0,3.747553090728714e-05,0.0005685202085760474,0.0021240907178829292,0.001530786030469701
Emthanjeni,0.031158071417951124,0.0921244018632805,0.05716585898971663,0.04479123121662292,0.07186446967008558,0.09037981646813122,0.10935029696491522,0.09308606127713852
Umzimkhulu,0.0016050822699133647,0,0.0024275999199793222,0.002553785808127355,0.002838426158943953,0.002585871871636663,0.00490518526287074,0.004003731512549515
Sol Plaatjie,0.005119460160163349,0.0037394587313714384,0.003297507768598025,0.003852127233742298,0.0028889657988737712,0.0069411240386471305,0.01074378699471449,0.008929604620871166
Mkhondo,0,0.0036823464216587825,0.0034808109141909985,0.002524331744163611,0.002581372625178482,0.010182747928237723,0.010765212070241777,0.006549251780241335
Dikgatlong,0.004642076979073195,0.001332585112151356,9.967307232278128e-06,0.0007860648049474071,0.00017751820198416888,6.203975203534782e-05,0.00015698637238905302,0.00034153134431924944
George,0.014089634037957334,0.005231315178279168,0.013411225151996886,0.013907673340237103,0.016401089346843166,0.04043570919698302,0.03570908764949843,0.03558968530256157
