municipality,2009,2010,2011,2012,2013,2014,2015,2016
Thembelihle,0.2267201976848426,0.21367249767307803,0.2429684545270259,0.18042367007167193,0.18508282705586435,0.2552942136285848,0.2560322913874848,0.29051749011172295
Langeberg,0.22573629298504327,0.25643202884063054,0.2242618243143771,0.21824303036805198,0.2117099447620875,0.21696779150621207,0.2181500933543546,0.20621196808175069
Lekwa,0.23184632528426016,0.19797847791198883,0.2692772941796523,0.24788917419050913,0.21646378172037373,0.2272512274782122,0.1781972230960654,0.1853495471940554
Midvaal,0.26749141757804307,0.18635811278492168,0.16248622566390858,0.2015052818368836,0.21427187592275032,0.1629371626116429,0.20989281610576369,0.22356468798396417
City of Tshwane,0.25908619153177226,0.2603566198945706,0.2787461677794484,0.23901803595366816,0.2450598277350922,0.27147198213852347,0.25547803621565907,0.26593073500101233
Msukaligwa,0.37126601135916587,0.3467083448236199,0.2487461396388607,0.20700782622630345,0.21295715199687645,0.2622165979545221,0.2840522805406272,0.260665879706928
Tokologo,0.3672253615014604,0.20155220150041261,0.17560334729567723,0.14725167327123245,0.1222782835320439,0.19657048346298744,0.23783756186010732,0.1884431964284894
Breede Valley,0.1959929799761029,0.23356472906162554,0.22446052536469738,0.21700514373880236,0.1998078783913795,0.18332117003034445,0.18798647771492347,0.1996838745058554
Mafikeng,0.23712770192624916,0.3491787075145142,0.35933091703199943,0.37016248208551067,0.28299512976586744,0.3147846527119161,0.2975630766415521,0.2559206208689948
Dipaleseng,0.2459484658938727,0.2263602368282376,0.2837607724901808,0.2172744289727108,0.2050152857672861,0.2867807486481388,0.22100573376968385,0.25337550172243156
Hantam,0.26014676163065226,0.25740764536330113,0.3098974824750151,0.25893949010896783,0.2404053714231722,0.21968378811950207,0.2706145771593065,0.2838092915422289
Cape Agulhas,0.28474818405878694,0.2679518499231724,0.3578301467260539,0.3287529272548613,0.3010810236018724,0.3206484640377663,0.34330268168629857,0.38976408263383644
Kai !Garib,0.2892386572399426,0.1707839492261248,0.2656048014249729,0.2922681448789007,0.33167522450520137,0.3821607633837338,0.40462099984750316,0.39962809822644496
Mbizana,0.2127656766565963,0.2833228875371922,0.3289878738283903,0.142834325901557,0.1731857489383108,0.1405552580506366,0.15561460316679435,0.15598210694485096
Emalahleni,0.2364670040119986,0.21253668784518484,0.1912192805348902,0.17853005111941259,0.16545333206128537,0.23651966251873108,0.24275045993923106,0.2716264559085098
Victor Khanye,0.3311160508682381,0.22561267647924,0.24381325905502,0.28820611523913736,0.28707002203180504,0.17557650660477492,0.2375984314159165,0.1486764946730314
Ngqushwa,0.36255893178293447,0.30772242333584715,0.2854977837811192,0.31090711777250796,0.2686487959019301,0.288268449395817,0.292789707467704,0.2795330667150825
Nyandeni,0,0.3654812864151863,0.38913002181219836,0.3214187903482563,0.3246786008373688,0.3608750272444448,0.3494531218556901,0.3161183912882847
Greater Kokstad,0.3329188516051667,0.3003518348757842,0.3007169075536875,0.2986922132569653,0.3369950699892291,0.3089120622115206,0.2580952286933044,0.2851191357425093
Musina,0.19654989498254558,0.3497394456913933,0.2488488045864845,0.2655103066867773,0.3119142932120364,0.3312017399168491,0.3471731145421017,0.28047538475148276
Polokwane,0,0.17841970278871386,0.2087964272207115,0.1797919369672206,0.16679765328510548,0.16356790273850672,0.16578892989024702,0.185869697174174
